Config,Organization,RAM,CPU,Scrubbed IPs,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.956,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.401,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,16.511,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,10.609,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.633,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,26.498,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.048,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.006,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.127,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.709,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,18.308,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,15.902,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,14.422,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,10.013,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,16.202,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,13.981,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,13.999,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,16.788,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.033,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,9.994,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.475,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.449,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.169,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.01,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,15.575,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.015,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.679,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.098,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,32.686,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,5.989,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.1,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.73,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,105.352,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.045,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.129,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.52,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.812,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.952,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.779,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.094,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.652,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.985,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.958,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.983,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.806,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.817,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.964,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.914,0
